"hthwr","htowr","hthtor","hthtop","atawr","atowr","atator","atatop","gw"
0.75,0.8125,1.5,0.5022335648536682,0.375,0.6875,1.625,0.48787903785705566,"h"
0.25,0.25,2.25,0.42885416746139526,0.25,0.3125,2.5,0.46166667342185974,"h"
0.25,0.3125,1.375,0.4711458384990692,0.5,0.5,1.75,0.5336517691612244,"a"
1,0.625,0.875,0.5778472423553467,0.375,0.5625,1.875,0.5016784071922302,"h"
0.625,0.625,1.5,0.519652783870697,0.75,0.8125,1.625,0.4742361009120941,"h"
0.75,0.5,1.125,0.5509883165359497,0.375,0.4375,1.375,0.5099653005599976,"h"
0.75,0.5625,1.375,0.49197322130203247,0.25,0.25,1.875,0.48086804151535034,"h"
0.5,0.5,2.625,0.5261961817741394,0.375,0.5,2.25,0.4807291626930237,"h"
0.625,0.4375,1.375,0.4895167946815491,0,0.125,3,0.4598610997200012,"h"
0,0.0625,2,0.5103819370269775,0.75,0.625,2.625,0.5134721994400024,"a"
0.75,0.5625,1.5,0.5245311856269836,0.375,0.5625,1.875,0.5216684341430664,"h"
0.75,0.6875,1.5,0.4768750071525574,0.625,0.6875,1.5,0.538819432258606,"a"
0.5,0.3125,1.75,0.4712499976158142,0.125,0.4375,1.75,0.4704166650772095,"h"
0.375,0.25,2.25,0.4670615792274475,0.5,0.625,1.375,0.5459327697753906,"h"
0.375,0.5,2.375,0.5199897289276123,0.375,0.5625,1.75,0.4695138931274414,"a"
0.25,0.3125,1.625,0.4364604651927948,0.75,0.75,0.75,0.5178124904632568,"h"
0.25,0.1875,1.75,0.46227145195007324,0.625,0.625,2,0.5622901320457458,"a"
0.75,0.6875,0.75,0.574340283870697,0.375,0.3125,2.25,0.4543505311012268,"h"
0.875,0.625,1.125,0.5934374928474426,0.625,0.5625,1.75,0.5164642930030823,"a"
0.375,0.3125,1.375,0.4868979752063751,0.5,0.375,1.75,0.4796527624130249,"a"
0.75,0.5625,2,0.49190378189086914,0.5,0.625,1.375,0.5480927228927612,"a"
0.75,0.625,1,0.5569097399711609,0.375,0.5,2.875,0.4556597173213959,"a"
0.25,0.125,2,0.5060069561004639,0.625,0.6875,0.75,0.45982638001441956,"a"
0.75,0.5625,1.375,0.5071180462837219,0.625,0.5625,2.75,0.46753472089767456,"h"
0.625,0.5,1.5,0.5214236378669739,0.375,0.3125,2,0.5192594528198242,"a"
0.5,0.4375,1.625,0.5089336633682251,0.125,0.3125,2.25,0.42885416746139526,"h"
0.375,0.3125,2.375,0.48895832896232605,0.125,0.0625,2.25,0.4542200565338135,"h"
0.375,0.5,2.125,0.5197814106941223,0.25,0.625,2,0.49488580226898193,"h"
0.875,0.625,1,0.5636110901832581,0.375,0.5625,2,0.47090277075767517,"h"
0.875,0.8125,1.375,0.49649304151535034,0.25,0.5,2.125,0.46225693821907043,"h"
0.875,0.8125,1.375,0.4801041781902313,0.375,0.4375,1.875,0.5013194680213928,"h"
0.625,0.375,1.875,0.5093402862548828,0.875,0.8125,1.5,0.5362717509269714,"a"
0.375,0.375,2.875,0.516960084438324,0.5,0.625,2.125,0.4717708230018616,"a"
0.5,0.4375,1.75,0.5054861307144165,0.375,0.625,1.875,0.5173611044883728,"a"
0.25,0.3125,2.375,0.4637152850627899,0.625,0.6875,1.5,0.5318427681922913,"a"
1,0.625,1,0.5619791746139526,0.375,0.3125,2.125,0.464663028717041,"h"
0.75,0.5625,1.125,0.5079514980316162,0.25,0.3125,2,0.4640972316265106,"h"
0.875,0.625,1.375,0.593715250492096,0,0.125,3.125,0.4424305558204651,"h"
0.625,0.75,1.75,0.48082050681114197,0.375,0.5625,1.75,0.5240537524223328,"a"
0.125,0.125,1.75,0.5149305462837219,0.125,0.1875,1.125,0.4777430593967438,"h"
0.625,0.625,1.625,0.5165972113609314,0.625,0.6875,1.125,0.5443008542060852,"a"
0.375,0.4375,1.625,0.44607850909233093,0.125,0.375,1.75,0.4669097363948822,"h"
0.625,0.4375,1.125,0.5484188199043274,0.75,0.75,0.75,0.46013888716697693,"a"
0.375,0.375,1.75,0.515148937702179,0.75,0.8125,1.5,0.4709722101688385,"a"
0.625,0.625,2.25,0.47062501311302185,0.25,0.3125,1.625,0.4958333373069763,"h"
0.625,0.375,1.75,0.45944443345069885,0.75,0.8125,1.25,0.5519791841506958,"h"
0.5,0.5625,1.375,0.5199305415153503,0.625,0.5,1.25,0.49871528148651123,"a"
0.625,0.5,1.5,0.4909403920173645,0.625,0.6875,1.5,0.5545486211776733,"h"
0.25,0.3125,1.375,0.45673611760139465,0.75,0.5625,0.75,0.5260763764381409,"a"
0.5,0.375,1.25,0.48607638478279114,0.25,0.5625,1.875,0.5067708492279053,"h"
0.625,0.625,1.375,0.5019270181655884,0.5,0.625,2.25,0.48180556297302246,"a"
0.625,0.5625,2.25,0.4606190621852875,0.375,0.375,1.375,0.5079861283302307,"a"
0.875,0.75,1.125,0.5663889050483704,0,0.125,3.125,0.480798602104187,"h"
0.75,0.5625,1.375,0.5024999976158142,0.125,0.375,1.875,0.4693402647972107,"h"
0.625,0.75,2,0.485507994890213,0.375,0.4375,2,0.4780208468437195,"h"
0.25,0.1875,1.625,0.5221874713897705,0.125,0.375,2.25,0.42065972089767456,"h"
0.625,0.4375,0.75,0.531701385974884,0.625,0.75,1.5,0.46388888359069824,"h"
0.375,0.3125,2.375,0.5030555725097656,0.75,0.6875,1.875,0.5540956854820251,"a"
0.625,0.6875,1.625,0.48180556297302246,0.25,0.25,1.125,0.48576387763023376,"a"
0.875,0.8125,1.375,0.5119444727897644,0.5,0.5625,2.875,0.4577430486679077,"h"
0.5,0.4375,2.75,0.5235226154327393,0.25,0.4375,3,0.4477083384990692,"h"
0.375,0.5,1.875,0.5097916722297668,0.375,0.6875,1.875,0.4979513883590698,"a"
0.25,0.3125,1,0.44440972805023193,0.25,0.4375,2.375,0.4695138931274414,"a"
0.75,0.625,1,0.5183334350585938,0.25,0.3125,1.5,0.49340277910232544,"h"
0.875,0.75,1.375,0.4915972352027893,0.5,0.4375,1.75,0.4716666638851166,"h"
0.375,0.3125,1.625,0.47866564989089966,0.5,0.6875,1.75,0.5407932996749878,"h"
0.25,0.125,2,0.4850347340106964,0.125,0.1875,2.5,0.4711992144584656,"h"
0.5,0.4375,1.625,0.4951041638851166,0.375,0.5,3.125,0.44024306535720825,"a"
0.75,0.5,1.5,0.5725347399711609,0.5,0.375,2.125,0.5179052948951721,"a"
0.5,0.375,1.375,0.4981597363948822,0.5,0.625,1.5,0.5219009518623352,"a"
0.5,0.625,1.625,0.4893749952316284,0.375,0.4375,2.125,0.49135416746139526,"a"
0.75,0.625,2,0.4741319417953491,0.75,0.6875,1.875,0.5288759469985962,"h"
0.625,0.625,1.375,0.5562152862548828,0.625,0.625,1.625,0.4632291793823242,"a"
0.375,0.3125,2.125,0.49097222089767456,0.625,0.75,1.625,0.5520138740539551,"h"
0.5,0.3125,2.5,0.5072569251060486,0.75,0.6875,0.875,0.4653819501399994,"a"
0.5,0.625,1.375,0.5329861044883728,0.25,0.5625,1.875,0.480587363243103,"h"
0.75,0.625,1,0.5345273017883301,0.625,0.5,1.75,0.5343675017356873,"a"
0.375,0.25,1.5,0.5249999761581421,0.5,0.6875,1.5,0.5611805319786072,"h"
1,0.6875,1.125,0.5453715324401855,0.5,0.625,2,0.508968710899353,"h"
0.625,0.625,1,0.4918575584888458,0.125,0.3125,2.25,0.4633333384990692,"h"
0.5,0.625,1.5,0.48114582896232605,0.375,0.375,1.75,0.4639583230018616,"h"
0.625,0.5,2.75,0.512932300567627,0,0.125,2.875,0.47663193941116333,"h"
0.625,0.6875,1.75,0.4997222125530243,0.5,0.625,1.375,0.5201995968818665,"h"
0.5,0.4375,1.375,0.4663570821285248,0.25,0.4375,2,0.43968749046325684,"a"
0.25,0.375,2.25,0.46552082896232605,0.75,0.6875,1.5,0.5256467461585999,"a"
0.25,0.25,1.75,0.5081250071525574,0.875,0.6875,1.125,0.5327430367469788,"a"
0.625,0.375,2.125,0.5277430415153503,0.25,0.3125,1.5,0.5014930367469788,"h"
0.875,0.5625,1.5,0.5793750286102295,0.5,0.5625,1.125,0.5512847304344177,"h"
0.375,0.3125,1.375,0.48029759526252747,0.625,0.75,1.875,0.45732638239860535,"a"
0.5,0.375,1.125,0.5130208134651184,0.75,0.6875,1.25,0.4775347113609314,"a"
0.75,0.625,1.375,0.5098611116409302,0.125,0.4375,2,0.5093402862548828,"h"
0.25,0.4375,2,0.5006250143051147,0.625,0.625,1.625,0.5389260649681091,"a"
0.875,0.6875,1,0.5145534873008728,0.25,0.25,2.375,0.4723910689353943,"h"
0.5,0.4375,1.625,0.4519418776035309,0.25,0.375,2.5,0.4710416793823242,"h"
0.5,0.625,2,0.49036911129951477,0.25,0.375,1.75,0.4658333361148834,"a"
0.5,0.4375,2,0.4748292863368988,0.375,0.375,1.375,0.4867708384990692,"a"
0.5,0.4375,2,0.511631965637207,0.125,0.375,1.75,0.4640972316265106,"h"
0.375,0.4375,1.875,0.4750347137451172,0.125,0.25,2.25,0.4688728153705597,"h"
0.625,0.6875,2.5,0.4507579505443573,0.75,0.6875,1.25,0.4732638895511627,"h"
0.625,0.4375,1.875,0.46475693583488464,0.375,0.5625,3.375,0.4357638955116272,"h"
0.875,0.6875,1.75,0.5226389169692993,0.375,0.6875,1.625,0.4819791615009308,"a"
0.25,0.25,1.75,0.4964583218097687,0.375,0.375,1.375,0.520520806312561,"a"
0.875,0.6875,1.25,0.5270273089408875,0.125,0.5,2.125,0.4883304238319397,"h"
0.5,0.5,1.5,0.5429166555404663,0.375,0.5,2.5,0.5053819417953491,"a"
0.75,0.4375,1.625,0.5271875262260437,0.25,0.25,1.625,0.49350693821907043,"h"
0.375,0.4375,1.875,0.5276389122009277,0.375,0.4375,2.375,0.49666666984558105,"a"
0.75,0.4375,1.25,0.5782986283302307,0.75,0.5,2,0.5392980575561523,"a"
0.625,0.5,1.25,0.45455992221832275,0.125,0.1875,2.5,0.4852243959903717,"h"
0.375,0.1875,2.125,0.4841666519641876,0.375,0.375,1.5,0.4748958349227905,"h"
0.5,0.3125,1.375,0.5418750047683716,0.25,0.375,2.125,0.45965278148651123,"h"
0.5,0.6875,1.625,0.5273264050483704,0.625,0.75,1.375,0.5269044041633606,"a"
0.875,0.6875,1.625,0.5378472208976746,0.75,0.6875,0.625,0.48006945848464966,"h"
1,0.6875,1.125,0.5159271359443665,0.125,0.5,2,0.48451098799705505,"h"
0.625,0.5,2.375,0.480243057012558,0.625,0.5,2,0.5094330906867981,"a"
0.5,0.4375,1.625,0.5160069465637207,0.25,0.4375,1.875,0.4301736056804657,"h"
0.5,0.625,2,0.5039802193641663,0.5,0.5625,1.625,0.5240302681922913,"h"
0.875,0.75,1.375,0.49753472208976746,0.625,0.5625,1.875,0.5277068018913269,"h"
0.375,0.1875,2,0.4831395447254181,0.875,0.6875,1.375,0.5171034932136536,"a"
0.875,0.6875,1,0.5244492888450623,0.625,0.4375,2.375,0.5207216739654541,"h"
0.625,0.4375,1.25,0.5182986259460449,0.375,0.6875,1.75,0.45454859733581543,"h"
0.5,0.5625,1.625,0.4939236044883728,0.5,0.6875,1.75,0.5368402600288391,"a"
0.25,0.1875,1.125,0.46090278029441833,0.5,0.5,2.75,0.4560416638851166,"a"
0.875,0.5,1.625,0.5889770984649658,0.25,0.4375,3.25,0.42196038365364075,"h"
0.75,0.625,1.25,0.5257638692855835,0.625,0.5,2,0.5034608840942383,"h"
0.5,0.375,2.125,0.5030208230018616,0.75,0.625,1.25,0.5396398305892944,"a"
0.625,0.4375,2,0.46531251072883606,0.5,0.5625,2.375,0.5443055629730225,"a"
0.625,0.6875,1.5,0.5151041746139526,0.5,0.6875,1.75,0.4589236080646515,"h"
0.625,0.5,1.75,0.5102863311767578,0.375,0.5,2,0.4803386926651001,"h"
0.875,0.75,1.25,0.5311245322227478,0.375,0.375,1.5,0.5311458110809326,"h"
0.625,0.375,1.5,0.5602083206176758,0.625,0.625,1.5,0.5084721446037292,"a"
0.75,0.625,1.125,0.5331597328186035,0.375,0.625,2.25,0.49504512548446655,"h"
0.375,0.5,1.75,0.5133333206176758,0.625,0.625,1,0.4816666543483734,"h"
0.625,0.4375,1.375,0.5006780028343201,1,0.75,0.875,0.5540643930435181,"a"
0.875,0.6875,1.125,0.49829861521720886,0.125,0.375,2.125,0.5005555748939514,"h"
0.5,0.4375,0.875,0.5109027624130249,0.5,0.5,1.625,0.49746373295783997,"h"
0.625,0.5625,2.125,0.4864959716796875,0,0.4375,2.25,0.48010125756263733,"h"
0.375,0.5,2,0.4888194501399994,0.125,0.3125,2.25,0.4506944417953491,"h"
0.25,0.1875,1.125,0.4595833420753479,0,0.1875,2.875,0.4824305474758148,"h"
0.375,0.3125,1.375,0.5089930295944214,0.25,0.4375,1.75,0.4864845275878906,"h"
0.5,0.5,3,0.5289930701255798,0.5,0.4375,1.25,0.527222216129303,"a"
0.625,0.4375,1.875,0.47583332657814026,0.375,0.5,1.75,0.4661458432674408,"a"
0.75,0.4375,1.5,0.5194154977798462,0.125,0.3125,2.125,0.4896470010280609,"h"
0.5,0.5625,1,0.5033159255981445,0.5,0.75,1.375,0.4507986009120941,"a"
0.25,0.3125,1.75,0.4513392448425293,0.75,0.6875,0.875,0.4883333444595337,"a"
0.25,0.4375,1.625,0.4944097101688385,0.625,0.625,2.25,0.47562500834465027,"a"
0.375,0.25,2.125,0.495763897895813,0.5,0.6875,2,0.5157048106193542,"a"
0.625,0.8125,1.5,0.5386458039283752,0.5,0.5,1.375,0.4789915084838867,"h"
0.5,0.3125,1.75,0.5438541769981384,0.25,0.25,2.5,0.48352301120758057,"a"
0.625,0.625,1,0.5073089599609375,0.375,0.5,1.625,0.5172916650772095,"h"
0.5,0.4375,1.5,0.5137152671813965,0.25,0.4375,1.25,0.4782291650772095,"h"
0.375,0.4375,1.75,0.5247916579246521,0,0.1875,2.875,0.5006250143051147,"h"
0.75,0.375,1.875,0.5567895770072937,0.625,0.75,1.125,0.5254113674163818,"a"
0.5,0.625,2.125,0.5185982584953308,0.25,0.4375,1.875,0.46569445729255676,"h"
0.5,0.5625,2.625,0.4357067346572876,0.5,0.375,1.5,0.49060678482055664,"a"
0.625,0.4375,1.125,0.47001388669013977,0.25,0.4375,3.25,0.4292173385620117,"h"
0.5,0.3125,1.25,0.5221874713897705,0.625,0.6875,1.125,0.5286718010902405,"a"
0.625,0.375,1.75,0.5046932697296143,0.75,0.5625,1.875,0.520127534866333,"a"
1,0.75,1,0.519607663154602,0.375,0.625,1.875,0.46145832538604736,"h"
0.75,0.75,1.5,0.5271875262260437,0.5,0.5,2.625,0.5242708325386047,"h"
0.875,0.6875,1.75,0.5460416674613953,0.25,0.3125,1.5,0.496423602104187,"h"
0.25,0.125,2,0.49532705545425415,0.625,0.8125,1.125,0.4539930522441864,"a"
0.25,0.375,2.125,0.5319791436195374,0.75,0.625,1.5,0.5248828530311584,"a"
0.625,0.8125,1.25,0.539027750492096,0.125,0.3125,2.375,0.4979861080646515,"h"
0.5,0.5,2.75,0.5360416769981384,0.25,0.375,2.5,0.5056944489479065,"h"
0.25,0.25,1.125,0.45488685369491577,0.75,0.6875,1.5,0.5206686854362488,"a"
0.625,0.5625,1.25,0.5102083086967468,0.5,0.5,1.25,0.4566666781902313,"h"
0.25,0.375,1.375,0.4484096169471741,0.125,0.4375,2,0.48385125398635864,"a"
0.625,0.625,2,0.48656541109085083,0.625,0.6875,1,0.4941319525241852,"h"
0.875,0.75,0.75,0.5349305272102356,0.5,0.6875,1,0.519439160823822,"h"
1,0.75,0.875,0.5211853981018066,0.75,0.5625,1.25,0.5157524943351746,"h"
0.625,0.4375,1.75,0.5058516263961792,0.125,0.25,2,0.4420138895511627,"h"
0.5,0.375,2.125,0.44083333015441895,0.375,0.5,1.375,0.5206164717674255,"a"
0.5,0.4375,1.75,0.5035501718521118,0.75,0.5,2,0.5412772297859192,"a"
0.25,0.25,1.5,0.488611102104187,0.125,0.3125,2,0.5028414726257324,"a"
0.75,0.5625,1.5,0.49704861640930176,0.5,0.6875,1.75,0.5498611330986023,"a"
0.5,0.375,2.125,0.45392361283302307,0.25,0.4375,1.75,0.507152795791626,"a"
0.75,0.6875,1.5,0.5303472280502319,0.5,0.5625,1.25,0.4754498302936554,"h"
0.75,0.4375,2.25,0.5422757267951965,0.25,0.25,2.75,0.488627165555954,"h"
0.125,0.4375,1.875,0.49020832777023315,0.375,0.5,1.25,0.46704861521720886,"a"
0.375,0.4375,2.75,0.4191442131996155,0.375,0.4375,2.25,0.5277083516120911,"a"
0.75,0.5625,0.875,0.49740973114967346,0.125,0.1875,1.25,0.4690277874469757,"h"
0.625,0.5625,2.375,0.5354166626930237,0.5,0.375,2,0.48192623257637024,"h"
0.25,0.125,1.375,0.4967159330844879,0.75,0.6875,2,0.5052777528762817,"a"
0.875,0.6875,1.25,0.521818995475769,0.25,0.4375,1.625,0.49465277791023254,"h"
0.375,0.5625,1.625,0.4979861080646515,0.75,0.8125,1.25,0.524798572063446,"a"
0.375,0.25,1.75,0.5321180820465088,0.75,0.625,1.5,0.516076385974884,"a"
0.75,0.625,1.875,0.5169097185134888,0.375,0.4375,1.75,0.5294444561004639,"a"
0.625,0.5,2,0.49122971296310425,0.625,0.4375,1.125,0.520853579044342,"a"
0.375,0.3125,2.25,0.44874998927116394,0.25,0.375,1.875,0.506521999835968,"a"
0.5,0.375,2.25,0.4373264014720917,0.125,0.25,1.625,0.4499305486679077,"h"
0.875,0.6875,0.75,0.515838086605072,0.875,0.75,1.625,0.5277172923088074,"a"
1,0.8125,0.875,0.5011007189750671,0.875,0.75,1.25,0.5411823987960815,"h"
0.25,0.375,2.75,0.4188723862171173,0.375,0.5,1.75,0.4780208468437195,"a"
0.625,0.6875,2.25,0.46889179944992065,0.625,0.8125,1,0.48152777552604675,"a"
0.375,0.3125,1.125,0.4603729546070099,0.375,0.5,1.625,0.4712499976158142,"h"
0.75,0.8125,0.875,0.5225867629051208,0.125,0.25,2.625,0.48489582538604736,"h"
0.625,0.5,1.625,0.5241666436195374,0.25,0.375,1.75,0.5266319513320923,"h"
0.25,0.375,1.125,0.45962488651275635,0.75,0.5625,1.375,0.5090858340263367,"a"
0.375,0.1875,1.25,0.4977923333644867,0.5,0.6875,1.375,0.5289530158042908,"h"
0.25,0.1875,2.375,0.4690625071525574,0.75,0.8125,1.375,0.535701334476471,"a"
0.625,0.6875,2.125,0.5382857918739319,0.25,0.375,1.625,0.49617478251457214,"h"
0.625,0.4375,1.5,0.49247103929519653,0.25,0.375,2.375,0.4713541567325592,"h"
0.625,0.75,1.125,0.5461111068725586,0.75,0.4375,2,0.522735595703125,"a"
0.375,0.3125,2.25,0.4407638907432556,0.125,0.1875,1.875,0.4652777910232544,"h"
0.75,0.625,1.875,0.5417708158493042,0.375,0.5625,1.125,0.5074914693832397,"h"
0.25,0.4375,2.375,0.5366319417953491,0.625,0.6875,1.125,0.49958333373069763,"a"
0.5,0.5,1.25,0.5031871795654297,0.625,0.75,1.625,0.509913444519043,"a"
0.625,0.375,2.25,0.5319632291793823,0.625,0.625,2.5,0.5413541793823242,"a"
0.75,0.625,1.75,0.562048614025116,0.25,0.4375,1.25,0.4818750023841858,"h"
0.5,0.375,1.25,0.5199652910232544,0.375,0.5625,1,0.5174567699432373,"a"
0.125,0.4375,2,0.49857640266418457,0.25,0.3125,2.5,0.4845646917819977,"a"
0.375,0.25,1.375,0.5305555462837219,0.25,0.4375,1.25,0.44527778029441833,"h"
0.625,0.5,1.625,0.4934866726398468,0.375,0.5,2.25,0.5335069298744202,"h"
0.375,0.4375,2.5,0.4326918423175812,0.375,0.4375,1.125,0.4792345464229584,"h"
0.25,0.4375,2.25,0.5261458158493042,0.375,0.3125,2.25,0.47519010305404663,"h"
0.625,0.625,2.125,0.5473958253860474,0.75,0.75,1.375,0.5139583349227905,"a"
0.25,0.1875,2.5,0.48218750953674316,0.25,0.3125,2.625,0.428835391998291,"h"
0.375,0.5625,1.25,0.5055524706840515,0.125,0.25,2.625,0.5010794997215271,"a"
0.875,0.75,0.625,0.5194492340087891,0.625,0.625,1.75,0.4989583194255829,"h"
0.5,0.375,2,0.4303472340106964,0.75,0.8125,1.125,0.5355624556541443,"a"
0.625,0.75,0.875,0.514114499092102,0.875,0.75,1.125,0.52993243932724,"a"
0.625,0.4375,2,0.5073696374893188,0.125,0.1875,1.875,0.4585416615009308,"h"
1,0.8125,0.5,0.46974655985832214,0.375,0.625,1.5,0.535932183265686,"h"
0.5,0.3125,2.875,0.5145326852798462,0.875,0.75,1.375,0.5131944417953491,"a"
0.625,0.75,0.875,0.5306770205497742,0.125,0.1875,1.875,0.4475347101688385,"h"
0.5,0.375,1.875,0.4394444525241852,0.5,0.375,1.5,0.5242910981178284,"h"
0.625,0.75,2.25,0.4676041603088379,0.75,0.6875,1.375,0.5314949154853821,"h"
0.25,0.25,2,0.43940073251724243,0.75,0.875,0.75,0.49000000953674316,"a"
0.5,0.375,2.125,0.5014072060585022,0.625,0.75,1.75,0.5182468295097351,"a"
0.875,0.625,0.625,0.5174791812896729,0.5,0.4375,1.25,0.43156251311302185,"h"
0.5,0.625,1,0.5200316309928894,0.25,0.375,1.875,0.47295138239860535,"h"
0.625,0.4375,1.375,0.5330208539962769,0.125,0.375,1.5,0.46881943941116333,"h"
0.125,0.4375,2,0.5181597471237183,0.25,0.3125,1.875,0.4872947633266449,"a"
0.625,0.5,1.75,0.5158502459526062,0.5,0.375,2.375,0.4668745696544647,"a"
0.375,0.25,1.625,0.49541667103767395,0.25,0.375,1.125,0.4699290096759796,"h"
0.625,0.4375,1.75,0.5027515888214111,0.5,0.5625,1.625,0.4937500059604645,"a"
0.875,0.625,1,0.5252564549446106,0.5,0.5625,3.25,0.5178819298744202,"h"
0.375,0.25,1.375,0.5228124856948853,0.375,0.5625,1.875,0.5493749976158142,"h"
0.875,0.8125,0.875,0.535243034362793,0.75,0.6875,1.625,0.5139930844306946,"a"
0.625,0.6875,1.625,0.527430534362793,0.25,0.375,1.875,0.5012123584747314,"a"
1,0.875,0.5,0.4778715670108795,0.75,0.4375,1.75,0.5046046376228333,"h"
0.625,0.6875,1.25,0.5343402624130249,0.25,0.25,2.875,0.4821341335773468,"h"
0.875,0.75,0.75,0.5048658847808838,0.125,0.25,2.875,0.5180902481079102,"h"
0.375,0.3125,2.375,0.4884905219078064,0.875,0.75,1.375,0.5299742817878723,"a"
0.5,0.375,1.125,0.498256653547287,0.375,0.5,2.375,0.5413541793823242,"h"
0.75,0.625,1.5,0.4972713887691498,0.375,0.375,1.125,0.4293055534362793,"h"
0.875,0.625,0.75,0.5194583535194397,0.375,0.5,1.5,0.534618079662323,"a"
0.5,0.625,1.75,0.527673602104187,0.5,0.375,1.5,0.5120688676834106,"a"
0.25,0.375,1.5,0.4652498960494995,0.625,0.625,3.125,0.5370486378669739,"a"
0.5,0.375,1.25,0.497965931892395,0.25,0.375,1.75,0.4926736056804657,"h"
0.875,0.625,1.25,0.5192148089408875,0.75,0.6875,1.625,0.5162152647972107,"h"
0.875,0.8125,1,0.5375000238418579,0,0.125,2.125,0.4313541650772095,"h"
0.625,0.6875,2.375,0.5454966425895691,0.75,0.625,1.375,0.5018749833106995,"a"
0.375,0.25,1.5,0.4799652695655823,0.375,0.5625,1.875,0.53947913646698,"a"
